# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
170,Selection,ANOVA F-value,0.7813384615384615,0.7064705882352941,0.7132660897434191,0.7064705882352941,0.7035329158965342
170,Selection,Chi-Squared,0.7436461538461537,0.6750980392156862,0.6786597827867265,0.6750980392156862,0.6731737940271827
170,Selection,Mutual Information,0.7531538461538463,0.6949019607843137,0.7009349577256616,0.6949019607843137,0.6919101372970823
180,Extraction,Kernel PCA,0.6278846153846154,0.594313725490196,0.5990577450298651,0.594313725490196,0.58723604806702
180,Extraction,PCA,0.6398923076923078,0.6011764705882353,0.6058547531809607,0.6011764705882353,0.5951994695197158
180,Extraction,UMAP,0.5555,0.5413725490196079,0.5465637762919444,0.5413725490196079,0.5188118713505399
180,Selection,ANOVA F-value,0.7816923076923077,0.7050980392156861,0.7119108703445769,0.7050980392156861,0.7022300454304569
180,Selection,Chi-Squared,0.7462615384615385,0.6801960784313725,0.6839014773313569,0.6801960784313725,0.6784304095596337
180,Selection,Mutual Information,0.7543076923076925,0.6843137254901961,0.6894127592379756,0.6843137254901961,0.6812906440802471
190,Extraction,Kernel PCA,0.6255846153846154,0.5886274509803922,0.5935291530339837,0.5886274509803922,0.5803326500654249
190,Extraction,PCA,0.6358,0.5978431372549019,0.6031108845716877,0.5978431372549019,0.5911257506180068
190,Extraction,UMAP,0.550876923076923,0.5394117647058824,0.5489249292250133,0.5394117647058824,0.5184693608637745
190,Selection,ANOVA F-value,0.7828461538461537,0.7074509803921569,0.7138570406344595,0.7074509803921569,0.7048760445571973
190,Selection,Chi-Squared,0.7465230769230771,0.6809803921568629,0.6843179379632136,0.6809803921568629,0.6792715967129298
190,Selection,Mutual Information,0.7562307692307694,0.6882352941176471,0.6945173347573325,0.6882352941176471,0.6850256086754551
200,Extraction,Kernel PCA,0.6272076923076922,0.5888235294117646,0.5953226522223553,0.5888235294117646,0.578094787242904
200,Extraction,PCA,0.6368615384615385,0.5974509803921568,0.603400966079699,0.5974509803921568,0.5896282877734079
200,Extraction,UMAP,0.5527692307692308,0.5462745098039214,0.550227565547449,0.5462745098039214,0.5282694950764044
200,Selection,ANOVA F-value,0.7792461538461538,0.71,0.7163907015511337,0.71,0.7073893660293966
200,Selection,Chi-Squared,0.7480461538461539,0.6811764705882354,0.6848158894346842,0.6811764705882354,0.679255555926497
200,Selection,Mutual Information,0.7474769230769231,0.6752941176470588,0.6814858212403678,0.6752941176470588,0.672000151339745
All Features,Baseline,Light Gradient Boosting Model,0.7770727692307693,0.7009803921568627,0.7068902971948736,0.7009803921568627,0.6978981931558705
