# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
130,Selection,Mutual Information,0.761415004748338,0.6930196078431372,0.6983664993289694,0.6930196078431372,0.6902021061503882
140,Extraction,Kernel PCA,0.5697113010446344,0.543372549019608,0.5404018010729903,0.543372549019608,0.5308117754119988
140,Extraction,PCA,0.5864406457739791,0.5944313725490196,0.5964345406754694,0.5944313725490196,0.5865687780839747
140,Extraction,UMAP,0.4949658119658119,0.528,0.5057138895962425,0.528,0.4642291967940104
140,Selection,ANOVA F-value,0.7638665716999051,0.7129411764705882,0.7179353919692574,0.7129411764705882,0.7086272177139644
140,Selection,Chi-Squared,0.7509017094017094,0.6851764705882353,0.6859633631087316,0.6851764705882353,0.6846054566499689
140,Selection,Mutual Information,0.7607758784425451,0.6971764705882352,0.7017653533813688,0.6971764705882352,0.6935793428376658
150,Extraction,Kernel PCA,0.572454415954416,0.6105098039215686,0.6107010091023932,0.6105098039215686,0.6028604404972691
150,Extraction,PCA,0.5737037037037037,0.5905882352941176,0.5915469512016827,0.5905882352941176,0.5845675613351657
150,Extraction,UMAP,0.5032369420702754,0.5157647058823529,0.49739786663059177,0.5157647058823529,0.4468929566254552
150,Selection,ANOVA F-value,0.7599107312440646,0.7207058823529412,0.725271839492641,0.7207058823529412,0.7173118239797353
150,Selection,Chi-Squared,0.7484278252611586,0.7047843137254901,0.7063907332171416,0.7047843137254901,0.7034463778085547
150,Selection,Mutual Information,0.7796068376068377,0.7403921568627452,0.7562779894874839,0.7403921568627452,0.7340968628992091
160,Extraction,Kernel PCA,0.5845783475783476,0.5788235294117647,0.5777816850131429,0.5788235294117647,0.5694131898308836
160,Extraction,PCA,0.5635655270655271,0.5744313725490195,0.578068490168412,0.5744313725490195,0.5631018709971348
160,Extraction,UMAP,0.5391210826210826,0.5080784313725489,0.47700164378479093,0.5080784313725489,0.4550423741420622
160,Selection,ANOVA F-value,0.7502108262108262,0.7011764705882353,0.7024406360608848,0.7011764705882353,0.6973678286611938
160,Selection,Chi-Squared,0.7463190883190884,0.6890980392156862,0.6903944966373163,0.6890980392156862,0.688124127331047
160,Selection,Mutual Information,0.7338741690408357,0.6851764705882353,0.691502726019815,0.6851764705882353,0.679610351683723
170,Extraction,Kernel PCA,0.5830066476733143,0.5670588235294118,0.5673842746957306,0.5670588235294118,0.5558038758821515
170,Extraction,PCA,0.5654126305792972,0.5549803921568628,0.5542124295747014,0.5549803921568628,0.5437499633064484
170,Extraction,UMAP,0.5642336182336183,0.5789019607843138,0.6039115932166892,0.5789019607843138,0.520705820152142
170,Selection,ANOVA F-value,0.7555417853751187,0.7050980392156863,0.7091847595428158,0.7050980392156863,0.7013027847085818
170,Selection,Chi-Squared,0.7541153846153845,0.6814117647058824,0.6835312726173767,0.6814117647058824,0.6806346826313876
170,Selection,Mutual Information,0.7388048433048432,0.6813333333333335,0.6924912970734471,0.6813333333333335,0.6760020734081758
180,Extraction,Kernel PCA,0.6085204178537513,0.5789803921568628,0.5774800554226951,0.5789803921568628,0.5743078272756766
180,Extraction,PCA,0.5548528015194683,0.5590588235294118,0.5570387519951533,0.5590588235294118,0.5512513620123192
180,Extraction,UMAP,0.5009843304843304,0.519921568627451,0.550621164021164,0.519921568627451,0.4490067630825522
